Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","977","Meat, sheep","2017","2017","Head","856876","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","977","Meat, sheep","2018","2018","Head","576460","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","977","Meat, sheep","2019","2019","Head","628660","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1080","Meat, turkey","2015","2015","1000 Head","55","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1080","Meat, turkey","2016","2016","1000 Head","69","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1080","Meat, turkey","2017","2017","1000 Head","50","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1080","Meat, turkey","2018","2018","1000 Head","70","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5321","Producing Animals/Slaughtered","1080","Meat, turkey","2019","2019","1000 Head","45","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","951","Milk, whole fresh buffalo","2015","2015","Head","6339","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","951","Milk, whole fresh buffalo","2016","2016","Head","6796","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","951","Milk, whole fresh buffalo","2017","2017","Head","7589","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","882","Milk, whole fresh cow","2015","2015","Head","295374","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","882","Milk, whole fresh cow","2016","2016","Head","276160","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","882","Milk, whole fresh cow","2017","2017","Head","271329","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","882","Milk, whole fresh cow","2018","2018","Head","244360","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","882","Milk, whole fresh cow","2019","2019","Head","226690","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","1020","Milk, whole fresh goat","2015","2015","Head","227618","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","1020","Milk, whole fresh goat","2016","2016","Head","219869","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","1020","Milk, whole fresh goat","2017","2017","Head","199438","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","1020","Milk, whole fresh goat","2018","2018","Head","239880","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","1020","Milk, whole fresh goat","2019","2019","Head","204090","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","982","Milk, whole fresh sheep","2015","2015","Head","1029081","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5318","Milk Animals","982","Milk, whole fresh sheep","2016","2016","Head","1024550","","Official data"
