Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1018","Offals, edible, goats","2016","2016","tonnes","8742","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1018","Offals, edible, goats","2017","2017","tonnes","8870","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1018","Offals, edible, goats","2018","2018","tonnes","9024","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1018","Offals, edible, goats","2019","2019","tonnes","9242","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","978","Offals, sheep,edible","2015","2015","tonnes","21928","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","978","Offals, sheep,edible","2016","2016","tonnes","21992","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","978","Offals, sheep,edible","2017","2017","tonnes","22987","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","978","Offals, sheep,edible","2018","2018","tonnes","23167","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","978","Offals, sheep,edible","2019","2019","tonnes","17600","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1185","Silk-worm cocoons, reelable","2015","2015","tonnes","500","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1185","Silk-worm cocoons, reelable","2016","2016","tonnes","500","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1185","Silk-worm cocoons, reelable","2017","2017","tonnes","500","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1185","Silk-worm cocoons, reelable","2018","2018","tonnes","500","Im","FAO data based on imputation methodology"
