Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
MK,Macro Indicators,98,Croatia,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,51596.99779,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,98,Croatia,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,12246.32151,Fc,Calculated data,
MK,Macro Indicators,49,Cuba,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,91370,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,49,Cuba,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,7961.84588,Fc,Calculated data,
MK,Macro Indicators,279,Curaçao,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,3122.287955,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,279,Curaçao,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,19591.31809,Fc,Calculated data,
MK,Macro Indicators,50,Cyprus,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,20876.29055,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,50,Cyprus,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,24609.00976,Fc,Calculated data,
MK,Macro Indicators,167,Czechia,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,195090.2724,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,167,Czechia,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,18385.75505,Fc,Calculated data,
MK,Macro Indicators,116,Democratic People's Republic of Korea,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,16786.18484,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,116,Democratic People's Republic of Korea,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,664.983593,Fc,Calculated data,
MK,Macro Indicators,250,Democratic Republic of the Congo,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,40337.51241,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,250,Democratic Republic of the Congo,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,512.312462,Fc,Calculated data,
MK,Macro Indicators,54,Denmark,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,313115.8969,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,54,Denmark,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,54818.45647,Fc,Calculated data,
MK,Macro Indicators,72,Djibouti,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,2618.587757,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,72,Djibouti,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,2778.834825,Fc,Calculated data,
MK,Macro Indicators,55,Dominica,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,575.47037,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,55,Dominica,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,7824.950986,Fc,Calculated data,
MK,Macro Indicators,56,Dominican Republic,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,72342.99967,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,56,Dominican Republic,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,6793.541132,Fc,Calculated data,
MK,Macro Indicators,58,Ecuador,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,99937.696,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,58,Ecuador,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,6099.315303,Fc,Calculated data,
MK,Macro Indicators,59,Egypt,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,270254.5322,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,59,Egypt,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,2824.310351,Fc,Calculated data,
MK,Macro Indicators,60,El Salvador,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,24154.11197,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,60,El Salvador,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,3806.961436,Fc,Calculated data,
MK,Macro Indicators,61,Equatorial Guinea,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,11262.31313,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,61,Equatorial Guinea,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,9220.143539,Fc,Calculated data,
MK,Macro Indicators,178,Eritrea,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,5012.68602,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,178,Eritrea,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,1011.714466,Fc,Calculated data,
MK,Macro Indicators,63,Estonia,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,23996.4515,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,63,Estonia,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,18283.81864,Fc,Calculated data,
MK,Macro Indicators,209,Eswatini,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,3840.754214,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,209,Eswatini,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,2859.62321,Fc,Calculated data,
MK,Macro Indicators,238,Ethiopia,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,72157.65332,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,238,Ethiopia,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,704.642591,Fc,Calculated data,
MK,Macro Indicators,66,Fiji,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,4930.244148,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,66,Fiji,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,5485.607001,Fc,Calculated data,
MK,Macro Indicators,67,Finland,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,240570.2979,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,67,Finland,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,43715.16036,Fc,Calculated data,
MK,Macro Indicators,68,France,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,2471285.607,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,68,France,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,36913.56699,Fc,Calculated data,
MK,Macro Indicators,70,French Polynesia,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,5427.12955,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,70,French Polynesia,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,19368.21772,Fc,Calculated data,
MK,Macro Indicators,74,Gabon,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,14023.82932,X,International reliable sources,Data from UNSD AMA
MK,Macro Indicators,74,Gabon,6119,Value US$,22014,Gross Domestic Product per capita,2016,2016,,7083.507672,Fc,Calculated data,
MK,Macro Indicators,75,Gambia,6110,Value US$,22008,Gross Domestic Product,2016,2016,millions,1467.2548,X,International reliable sources,Data from UNSD AMA
